Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2021,Carlos Correa,HOU,148,639,555,155,94,34,1,26,104,92,75,2,116,4,6,0,16,0,0,0.279279279,14162
2021,Jorge Soler,2 Tms,149,602,516,115,61,27,0,27,74,70,67,0,142,6,5,0,12,0,0,0.222868217,14221
2021,Mitch Haniger,SEA,156,691,620,157,93,23,2,39,110,100,54,2,169,9,8,0,12,1,0,0.253225806,14274
2021,Wilmer Difo,PIT,115,240,219,59,45,7,3,4,25,24,20,0,54,0,1,0,2,1,0,0.269406392,14320
2021,Matt Olson,OAK,156,673,565,153,79,35,0,39,101,111,88,12,113,9,11,0,17,4,1,0.27079646,14344
2021,Raimel Tapia,COL,133,533,487,133,99,26,2,6,69,50,40,2,70,1,4,1,8,20,6,0.273100616,14350
2021,Lewis Brinson,MIA,84,290,274,62,39,14,0,9,24,33,13,0,72,1,1,1,5,1,1,0.226277372,14352
2021,Harold Ramirez,CLE,97,361,339,91,62,21,1,7,33,41,14,1,56,5,3,0,10,3,1,0.268436578,14387
2021,Jake Cave,MIN,66,178,164,31,21,6,1,3,14,13,10,0,62,3,0,1,0,1,1,0.18902439,14477
2021,Pedro Severino,BAL,110,419,379,94,65,18,0,11,32,46,34,1,109,1,5,0,9,0,0,0.248021108,14523
2021,Anthony Santander,BAL,110,438,406,98,56,24,0,18,54,50,23,0,101,4,4,1,11,1,1,0.24137931,14551
2021,Nomar Mazara,DET,50,181,165,35,25,5,2,3,12,19,15,0,45,0,1,0,4,0,0,0.212121212,14553
2021,Franmil Reyes,CLE,115,466,418,106,56,18,2,30,57,85,43,3,149,2,3,0,13,4,1,0.253588516,14566
2021,David Bote,CHC,97,327,291,58,38,10,2,8,32,35,27,0,73,5,3,1,13,0,1,0.199312714,14593
2021,Harold Castro,DET,103,339,315,89,72,13,1,3,35,37,14,0,72,1,5,4,7,1,1,0.282539682,14691
2021,Manuel Margot,TBR,122,464,421,107,76,18,3,10,55,57,37,2,70,1,4,1,4,13,8,0.254156769,14712
2021,Brett Phillips,TBR,102,292,253,52,26,9,4,13,50,44,33,0,113,2,2,2,3,14,3,0.205533596,14735
2021,Yu Chang,CLE,83,251,237,54,28,14,3,9,32,39,11,0,69,2,1,0,4,1,0,0.227848101,14773
2021,Luke Voit,NYY,68,241,213,51,32,7,1,11,26,35,21,0,74,7,0,0,12,0,0,0.239436619,14811
2021,Kyle Farmer,CIN,145,529,483,127,87,22,2,16,60,63,22,1,97,18,5,1,16,2,3,0.262939958,14813
2021,Mike Yastrzemski,SFG,139,532,468,105,49,28,3,25,75,71,51,4,131,9,3,1,3,4,0,0.224358974,14854
2021,Pat Valaika,BAL,87,281,259,52,39,8,0,5,17,25,16,0,76,2,3,1,4,1,1,0.2007722,14885
2021,Tony Kemp,OAK,119,397,330,92,65,16,3,8,54,37,52,0,51,6,5,4,2,8,2,0.278787878,14894
2021,Victor Caratini,SDP,108,356,313,71,55,9,0,7,33,39,35,8,82,4,4,0,13,2,0,0.22683706,14968
2021,Dom Nunez,COL,79,263,228,43,18,12,3,10,31,33,34,4,91,0,1,0,0,0,0,0.188596491,15055
2021,Ryan McMahon,COL,150,596,528,134,78,32,1,23,80,86,59,2,147,4,5,0,14,6,2,0.253787878,15112
2021,Hunter Dozier,KCR,143,543,487,105,56,27,6,16,55,54,43,0,154,7,6,0,12,5,4,0.215605749,15117
2021,Trey Mancini,BAL,147,616,556,142,87,33,1,21,77,71,51,4,143,8,1,0,19,0,0,0.255395683,15149
2021,Mitch Garver,MIN,68,243,207,53,25,15,0,13,29,34,31,0,71,3,2,0,4,1,1,0.256038647,15161
2021,Josh VanMeter,ARI,111,310,274,58,33,17,2,6,26,36,33,0,83,1,2,0,5,3,2,0.211678832,15170
2021,Tim Anderson,CHW,123,551,527,163,115,29,2,17,94,61,22,1,119,1,1,0,5,18,7,0.309297912,15172
2021,Chad Pinder,OAK,73,233,214,52,29,16,1,6,30,27,16,0,62,2,1,0,6,1,0,0.242990654,15191
2021,Jake Bauers,2 Tms,112,315,282,59,48,7,0,4,27,19,30,1,78,2,0,0,1,6,1,0.209219858,15194
2021,Adam Frazier,2 Tms,154,639,577,176,130,36,5,5,83,43,48,2,69,10,1,3,10,10,5,0.305025996,15223
2021,Mike Tauchman,2 Tms,71,191,166,30,21,5,0,4,22,15,23,0,58,1,0,1,0,3,3,0.180722891,15274
2021,Garrett Cooper,MIA,71,250,215,61,41,10,1,9,30,33,30,0,68,4,1,0,6,1,1,0.28372093,15279
2021,Frank Schwindel,2 Tms,64,259,242,79,44,20,1,14,44,43,16,2,41,1,0,0,4,2,1,0.32644628,15351
2021,Jeff McNeil,NYM,120,426,386,97,70,19,1,7,48,35,29,0,58,10,1,0,10,3,0,0.251295336,15362
2021,Jack Mayfield,2 Tms,83,290,266,58,33,15,0,10,30,39,17,0,68,3,1,3,6,5,0,0.218045112,15402
2021,Kris Bryant,2 Tms,144,586,513,136,77,32,2,25,86,73,62,4,135,9,2,0,9,10,2,0.265107212,15429
2021,Hunter Renfroe,BOS,142,572,521,135,71,33,0,31,89,96,44,0,130,1,6,0,6,1,2,0.259117082,15464
2021,Aristides Aquino,CIN,83,204,174,33,16,6,1,10,25,23,27,2,75,1,2,0,0,2,2,0.189655172,15482
2021,Victor Reyes,DET,71,220,209,54,35,10,4,5,26,22,8,0,55,0,1,2,2,5,1,0.258373205,15487
2021,J.P. Crawford,SEA,159,687,619,169,123,37,0,9,89,54,58,1,114,5,4,1,10,3,6,0.273021001,15491
2021,Amed Rosario,CLE,141,588,550,155,113,25,6,11,77,57,31,0,120,3,4,0,12,13,0,0.281818181,15518
2021,Willians Astudillo,MIN,70,216,208,49,34,8,0,7,17,21,3,0,12,4,1,0,12,0,0,0.235576923,15608
2021,Aaron Judge,NYY,148,633,550,158,95,24,0,39,89,98,75,2,158,3,5,0,16,6,1,0.287272727,15640
2021,Dominic Smith,NYM,144,493,446,109,78,20,0,11,43,58,32,2,112,9,6,0,13,2,1,0.244394618,15653
2021,Billy McKinney,3 Tms,113,300,265,51,28,11,3,9,32,27,32,2,79,1,2,0,3,2,0,0.19245283,15654
2021,Austin Meadows,TBR,142,591,518,121,62,29,3,27,79,106,59,3,122,6,8,0,4,4,3,0.233590733,15672
2021,Reese McGuire,TOR,71,217,198,50,34,15,0,1,22,10,15,0,44,2,1,1,4,0,0,0.252525252,15674
2021,Jose Abreu,CHW,152,659,566,148,86,30,2,30,86,117,61,3,143,22,10,0,28,1,0,0.261484098,15676
2021,Rowdy Tellez,2 Tms,106,325,297,72,45,14,2,11,34,36,23,4,65,4,1,0,6,0,0,0.242424242,15679
2021,Tyler O'Neill,STL,137,537,482,138,76,26,2,34,89,80,38,0,168,13,4,0,8,15,4,0.286307053,15711
2021,Yonathan Daza,COL,105,331,301,85,69,12,2,2,26,30,21,0,60,2,1,6,9,2,1,0.282392026,15794
2021,Luis Torrens,SEA,105,378,346,84,51,16,2,15,39,47,28,1,99,1,3,0,8,0,0,0.242774566,15905
2021,Aledmys Diaz,HOU,84,319,294,76,49,19,0,8,28,45,16,3,62,9,0,0,7,0,1,0.258503401,15937
2021,Austin Nola,SDP,53,194,173,47,33,12,0,2,15,29,14,0,19,5,2,0,2,0,1,0.2716763,15941
2021,Clint Frazier,NYY,66,218,183,34,20,9,0,5,20,15,32,0,65,3,0,0,8,2,0,0.185792349,15983
2021,Willy Adames,2 Tms,137,555,497,130,72,32,1,25,77,73,57,1,156,0,1,0,9,5,4,0.261569416,15986
2021,Cody Bellinger,LAD,93,350,315,52,31,9,2,10,39,36,31,2,94,1,3,0,2,3,1,0.165079365,15998
2021,Austin Slater,SFG,117,306,274,66,41,12,1,12,39,32,28,2,84,4,0,0,7,15,2,0.240875912,16153
2021,J.D. Davis,NYM,72,211,179,51,34,12,0,5,18,23,24,1,68,6,2,0,4,1,0,0.284916201,16219
2021,Bradley Zimmer,CLE,98,348,299,68,50,9,1,8,44,35,30,0,122,15,4,0,3,15,3,0.227424749,16221
2021,Trea Turner,2 Tms,148,646,595,195,130,34,3,28,107,77,41,2,110,6,4,0,18,32,5,0.327731092,16252
2021,Nick Gordon,MIN,67,216,200,48,34,9,1,4,19,23,12,0,55,3,1,0,7,10,1,0.24,16337
2021,Oscar Mercado,CLE,72,238,214,48,30,11,1,6,27,19,21,0,42,2,0,1,1,7,1,0.224299065,16375
2021,Michael Conforto,NYM,125,479,406,94,60,20,0,14,52,55,59,3,104,12,2,0,14,1,0,0.231527093,16376
2021,Francisco Mejia,TBR,81,277,250,65,41,15,3,6,31,35,17,0,49,7,2,1,4,0,0,0.26,16403
2021,Sergio Alcantara,CHC,86,255,220,45,31,6,3,5,30,17,30,2,74,2,2,1,3,3,0,0.204545454,16417
2021,Jordan Luplow,2 Tms,60,193,163,33,14,8,0,11,23,28,28,0,57,2,0,0,2,1,2,0.202453987,16424
2021,Christian Arroyo,BOS,56,181,164,43,25,12,0,6,22,25,8,0,44,7,0,1,1,1,0,0.262195121,16434
2021,Ryan O'Hearn,KCR,83,254,236,53,38,5,1,9,23,29,13,0,71,2,3,0,7,0,0,0.224576271,16442
2021,Rhys Hoskins,PHI,107,443,389,96,40,29,0,27,64,71,47,0,108,5,2,0,7,3,2,0.246786632,16472
2021,Kyle Schwarber,2 Tms,113,471,399,106,55,19,0,32,76,71,64,1,127,6,2,0,4,1,1,0.26566416,16478
2021,Matt Chapman,OAK,151,622,529,111,66,15,3,27,75,72,80,0,202,4,9,0,6,3,2,0.209829867,16505
2021,Isiah Kiner-Falefa,TEX,157,677,635,172,136,25,3,8,74,53,28,2,90,11,2,1,11,20,5,0.270866141,16512
2021,Mauricio Dubon,SFG,70,187,175,42,28,9,0,5,20,22,9,2,41,1,2,0,5,2,1,0.24,16530
2021,Danny Jansen,TOR,64,205,184,41,17,13,0,11,32,28,17,0,44,3,0,1,4,0,0,0.222826086,16535
2021,Ozzie Albies,ATL,156,686,629,163,86,40,7,30,103,106,47,2,128,3,7,0,4,20,4,0.259141494,16556
2021,Connor Joe,COL,63,211,179,51,34,9,0,8,23,35,26,0,41,3,3,0,1,0,0,0.284916201,16572
2021,Yandy Diaz,TBR,133,541,465,119,85,20,1,13,62,64,69,4,85,3,4,0,11,1,1,0.255913978,16578
